id,beach_id,date,wave_height_max
"105","1","2025-07-11","2.493438243865967"
"106","2","2025-07-11","2.493438243865967"
"107","3","2025-07-11","2.493438243865967"
"108","4","2025-07-11","1.8372703790664673"
"109","5","2025-07-11","2.493438243865967"
"110","6","2025-07-11","1.5091863870620728"
"111","7","2025-07-11","1.2467191219329834"
"112","8","2025-07-11","2.6246719360351562"
"113","9","2025-07-11","2.493438243865967"
"114","10","2025-07-11","2.493438243865967"
"115","11","2025-07-11","1.2467191219329834"
"116","12","2025-07-11","2.493438243865967"
"117","13","2025-07-11","1.574803113937378"
"118","14","2025-07-11","1.574803113937378"
"119","15","2025-07-11","2.493438243865967"
"120","16","2025-07-11","2.493438243865967"
"121","17","2025-07-11","1.3779526948928833"
"122","18","2025-07-11","1.9028871059417725"
"123","19","2025-07-11","1.771653652191162"
"124","20","2025-07-11","1.0498687028884888"
"125","21","2025-07-11","1.5091863870620728"
"126","22","2025-07-11","2.493438243865967"
"127","23","2025-07-11","2.230971097946167"
"128","24","2025-07-11","2.3622047901153564"
"129","25","2025-07-11","2.2965879440307617"
"130","26","2025-07-11","2.6246719360351562"
"131","27","2025-07-11","1.2467191219329834"
"132","28","2025-07-11","2.2965879440307617"
"133","29","2025-07-11","2.3622047901153564"
"134","30","2025-07-11","1.8372703790664673"
"135","31","2025-07-11","2.1653544902801514"
"136","32","2025-07-11","2.493438243865967"
"137","33","2025-07-11","1.5091863870620728"
"138","34","2025-07-11","2.6246719360351562"
"139","35","2025-07-11","1.3779526948928833"
"140","36","2025-07-11","2.3622047901153564"
"141","37","2025-07-11","2.6246719360351562"
"142","38","2025-07-11","1.8372703790664673"
"143","39","2025-07-11","1.5091863870620728"
"144","40","2025-07-11","1.5091863870620728"
"145","41","2025-07-11","2.3622047901153564"
"146","42","2025-07-11","2.230971097946167"
"147","43","2025-07-11","2.6246719360351562"
"148","44","2025-07-11","1.8372703790664673"
"149","45","2025-07-11","2.493438243865967"
"150","46","2025-07-11","2.230971097946167"
"151","47","2025-07-11","2.493438243865967"
"152","48","2025-07-11","1.3123359680175781"
"153","49","2025-07-11","1.0498687028884888"
"154","50","2025-07-11","1.8372703790664673"
"155","51","2025-07-11","2.1653544902801514"
"156","52","2025-07-11","2.1653544902801514"